n_samples,zero_cross_rate,mean,variance,std,skewness,energy,mean_bandwidth,min_bandwidth,max_bandwidth,variance_bandwidth,std_bandwidth,spectral_entropy,wavelet
32768,0.03920522836538461,6.841495633125305e-05,0.00819124035154482,0.09050547139010337,0.014279796481571993,268.41071721352637,1851.845351301598,1216.285827518546,5073.773549354925,798011.5578496373,893.3149264675013,0.442044087116555,db38
32768,0.022040264423076925,-1.3669952750205994e-05,0.006842061436065606,0.0827167542645721,0.01827711679500585,224.2006752602756,2524.2414253051516,1218.179819682268,6643.5567245167995,2936257.8633230925,1713.5512432731891,0.37824444839755395,db32
32768,0.12415114182692308,-4.1369348764419556e-06,0.004113703239393276,0.06413815743684313,0.027390984399225167,134.79782830923796,4126.51858059652,1180.0789304890293,8822.683490420577,6185738.47685427,2487.114488087404,0.41212212120674674,db19
32768,0.026517427884615384,1.4018267393112183e-05,0.008227077021497702,0.09070323600345084,0.013175459479888772,269.58486627973616,1891.8100244751024,1218.0056602641746,5210.426417566768,926378.739078358,962.4857085060319,0.4127425606574088,db37
32768,0.02538311298076923,3.632158041000366e-06,0.005488824309163294,0.07408660006481127,0.016993653301685417,179.85779539495707,3024.2062870478726,1218.3305146986222,6664.547854404593,3659392.9828160806,1912.9539939099634,0.4399885871930967,db31
32768,0.12100360576923076,4.453398287296295e-05,0.005352393513581213,0.07316005408405063,0.026408717423424745,175.38729564100504,3644.7954708611674,1172.8129345156624,8833.826100331213,6311351.140131034,2512.2402632174803,0.4471740084067784,db37
32768,0.024338942307692308,2.293568104505539e-05,0.006748121953888259,0.0821469534060044,0.019187684692461186,221.12247742246836,2698.231682206223,1174.9307120090816,7280.037174324195,3492133.6558466647,1868.7251418672208,0.437160158501335,db20
32768,0.059592848557692306,-6.763637065887451e-05,0.0043770538088894195,0.06615930629087204,0.013429038916505301,143.42744911275804,3972.5122852520226,1248.012514474895,8815.627987426651,6523256.592701192,2554.066677418816,0.4337706147851549,db28
32768,0.021033653846153848,-9.787734597921371e-05,0.006734974251673979,0.08206688888750431,0.01933398470068646,220.69195019546896,2658.2525481859093,1247.1433930744045,7363.941762077571,3316163.157133294,1821.0335409138663,0.39503089896910654,db19
32768,0.12921424278846153,5.2061863243579865e-05,0.003963171284225233,0.06295372335474077,0.03159126291822703,129.8652854571119,4248.87214045183,1198.2344797800242,8815.59069421183,6321625.704778107,2514.284332524487,0.458345031696009,db24
