signal_id,r_ind,r_mean,r_variance,r_std,r_skewness,r_energy,d_ind,d_mean,d_variance,d_std,d_skewness,d_energy
sound_0,0,-3.6891885763423e-06,1.1874263483476763e-08,0.0001089690941665423,0.00013754537299085217,1.7831810393742865e-07,2840,-3.129360533856914e-06,2.931378571070598e-10,1.71212691441686e-05,-6.832684479607133e-09,4.543961316868817e-09
sound_0,1,3.731538299216254e-06,7.964310123094981e-10,2.8221109338746732e-05,1.7512361629793452e-06,1.2155330855820239e-08,8531,4.347522358933496e-06,9.355923409680374e-11,9.672602240183546e-06,-9.632058078093012e-08,1.6869027713734558e-09
sound_0,2,-9.157636420874275e-06,1.2375757286785265e-08,0.00011124638100533997,-0.00011305081726117351,1.8689429387403282e-07,9900,-8.884508127922302e-06,2.8295786895802984e-10,1.6821351579407342e-05,-4.2198447074361386e-07,5.42838530449721e-09
sound_0,3,-2.8753414179190867e-05,3.5502349765447573e-09,5.958384828579602e-05,-1.7098702791120944e-05,6.565490705257276e-08,5599,-1.4156096635672322e-05,2.1566055280174894e-10,1.4685385687878576e-05,-1.592680535310682e-07,6.240834371403633e-09
sound_0,4,1.619176941204486e-05,2.0801420650641224e-09,4.5608574468668965e-05,8.425390205094283e-06,3.5134731926354314e-08,5342,1.1292695271291308e-05,1.8603569005817646e-10,1.3639490095240967e-05,1.364763531379889e-07,4.703409848226323e-09
sound_0,5,3.1765346307403284e-05,2.5305024146945263e-09,5.0304099382600285e-05,8.567824051389121e-06,5.309309461085679e-08,5597,1.2970982714294727e-05,1.9141553714235874e-10,1.3835300399426055e-05,-3.4322837336191037e-09,5.39492894575337e-09
sound_0,6,4.044948413824182e-06,9.391938740679709e-10,3.06462701493668e-05,1.9999517433270854e-08,1.4333332226077046e-08,13,4.365526819553589e-06,5.994212085889505e-11,7.742229708481597e-06,1.4722541504829494e-08,1.1849991790670511e-09
sound_0,7,6.4351469426196426e-06,4.1412454398535165e-09,6.435250919625059e-05,-3.1092816719065966e-05,6.273984834039936e-08,5586,6.778922947264344e-06,1.7987810776503909e-10,1.3411864440302067e-05,9.640890633092418e-09,3.387478561349792e-09
sound_0,8,-1.892074447229331e-05,3.293108881961652e-09,5.738561563633915e-05,-1.0924645052668073e-05,5.4766551800212045e-08,5449,-1.4707428485577401e-05,2.7522010060658973e-10,1.658975890742809e-05,-5.356537499358652e-07,7.37292829897445e-09
sound_0,9,4.926234448200694e-07,1.4893198867214826e-09,3.8591707486472825e-05,1.8326114675139267e-06,2.2343438468698036e-08,2838,8.179873986707343e-08,1.830424882603559e-10,1.3529319578617245e-05,-4.0936908645091845e-07,2.7457376894129953e-09
sound_0,10,-7.358708212251676e-06,3.1337156457077988e-09,5.597960026391577e-05,2.9660856709963604e-06,4.781799348391289e-08,108,-7.394257257274958e-06,2.572966319210558e-10,1.604046856924871e-05,-1.9560241320019758e-07,4.6795750846172875e-09
sound_0,11,-4.726253188066275e-05,4.226960715225682e-09,6.501508067537625e-05,-1.4192365849878965e-05,9.69106145249452e-08,8362,-1.536488763547736e-05,4.2699085020649065e-10,2.0663756923814475e-05,-1.8121294159926702e-06,9.946059333860035e-09
sound_0,12,-1.4726767531803729e-06,2.7711300236589753e-09,5.264152375890135e-05,1.13517381224488e-05,4.1599482007175e-08,197,-1.2193224631902262e-06,1.7521266207375833e-10,1.3236791985740288e-05,1.2798885796649125e-07,2.650491140144978e-09
sound_0,13,7.5340452002110635e-06,7.904505911836455e-10,2.811495315990488e-05,-4.492379018862287e-07,1.2708186423937036e-08,2873,8.80218155969346e-06,1.3909661749823407e-10,1.179392290538793e-05,-3.501262076164891e-08,3.2486252656206246e-09
